,CityID,City,Humidity,Temp,Latitude,Cloudiness,WindSpeed,MaxTemp,Longitude,LatLong,CountryCode
0,2027296,Aykhal,65,-40.0,66.0,0,3.58,-40.0,111.5,"{'lon': 111.5, 'lat': 66}",RU
1,3874787,Punta Arenas,81,50.0,-53.15,75,13.87,50.0,-70.92,"{'lon': -70.92, 'lat': -53.15}",CL
2,2270385,Camacha,82,57.97,33.08,20,10.29,59.0,-16.33,"{'lon': -16.33, 'lat': 33.08}",PT
3,2155415,New Norfolk,67,60.24,-42.78,75,9.17,62.6,147.06,"{'lon': 147.06, 'lat': -42.78}",AU
4,4030556,Rikitea,76,79.3,-23.12,2,11.79,79.3,-134.97,"{'lon': -134.97, 'lat': -23.12}",PF
5,2206939,Bluff,74,64.0,-46.6,56,14.0,64.0,168.33,"{'lon': 168.33, 'lat': -46.6}",NZ
6,6185377,Yellowknife,84,6.44,62.46,90,11.41,6.8,-114.35,"{'lon': -114.35, 'lat': 62.46}",CA
7,2075265,Busselton,41,71.65,-33.65,100,8.21,75.99,115.33,"{'lon': 115.33, 'lat': -33.65}",AU
8,2121025,Srednekolymsk,96,-34.06,67.45,65,7.0,-34.06,153.68,"{'lon': 153.68, 'lat': 67.45}",RU
9,5924351,Clyde River,69,-9.4,70.47,90,11.41,-9.4,-68.59,"{'lon': -68.59, 'lat': 70.47}",CA
10,2110227,Butaritari,63,84.79,3.07,45,4.16,84.79,172.79,"{'lon': 172.79, 'lat': 3.07}",KI
11,2396853,Omboue,94,75.51,-1.57,93,2.15,75.51,9.26,"{'lon': 9.26, 'lat': -1.57}",GA
12,5106841,Albany,73,20.86,42.6,1,4.7,27.0,-73.97,"{'lon': -73.97, 'lat': 42.6}",US
13,3833367,Ushuaia,71,50.0,-54.8,75,9.17,50.0,-68.3,"{'lon': -68.3, 'lat': -54.8}",AR
14,5122534,Jamestown,58,23.81,42.1,1,9.17,28.99,-79.24,"{'lon': -79.24, 'lat': 42.1}",US
15,2123814,Leningradskiy,91,-20.16,69.38,51,4.83,-20.16,178.42,"{'lon': 178.42, 'lat': 69.38}",RU
